                   frame  Start Frame
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.022 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.044 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.026 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.041 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.021 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.014 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.028 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.023 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.043 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.026 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.044 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.024 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.018 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.056 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.022 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.043 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.025 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.026 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.059 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.023 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.016 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.040 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.027 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.043 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.029 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.050 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.027 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.018 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.047 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.025 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.045 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.025 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.041 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.024 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.016 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.039 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.022 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.049 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.026 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.019 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.037 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.022 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.016 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.039 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
